五星评分,有用数,评论
推荐,366,相比上一部，这部的话题更女性了，想讲的话题其实挺多的，但基本都照顾到了，又尽量镶在了一个框架里，所以观感还是很好的，不会觉得刻意或者口号，反而会有很多乐趣。导演写台词确实有点东西，两部都有很多特别妙的台词，场上也是笑声不断。每个角色都很有特点，你能从中找到很多生活的影子。到最后，都不知道最喜欢的是哪个角色（创作层面），宋佳、钟楚曦，甚至赵又廷都各有各的精彩（创作层面）。
推荐,859,对爱情、亲情、人际关系的独到观察，再到内心、成长、两性的新鲜思考，整个影片表达的都很好！能感受到三个女孩在一起那种蓬勃的生命力，非常鲜活的女性群像
推荐,266,总得来说 不如爱情神话。如果说爱情神话是浑然天成意料之外的灵气 好东西更像是不够过瘾意料之中的匠气。可能是我期待太高 看的过程中让我感到惊喜的地方反而很少 印象比较深刻的是给小孩听录音的那一段 小孩的猜想和妈妈实际的动作声音重叠起来很妙。缺点是台词对白设计感有点重 让我幻视很多小红书豆瓣抖音关于女性处境和男女关系的高赞热帖。很多地方是有趣的 演员的表演和呈现也是很自然的（尤其喜欢宋佳的表演和衣品 个高肤白有气质穿啥都好看 连我妈都忍不住说铁梅真帅啊）。但是觉得匠气重的根本原因 是人物塑造 包括情节发展都太“典”了。十分切题 却又失了新意。如果说爱情神话给我的感觉是尝一口就让人鲜掉眉毛的靓汤 好东西更多的是一道精致好看 创意大胆的融合菜吧。慕名去吃了 是好吃的 也总是觉得少了点什么。
还行,277,这个分虚高了。整个片子就是把女权、畸形价值观、子女教育、原生家庭等等热门话题大杂烩了。影片输出了一堆价值观，全都靠对白念出来。这是电影吗？电影是视听语言的艺术，不是正确三观合集。比爱情神话差远了。
还行,221,不如爱情神话。除了个别桥段（猜声音、明天会更好、结尾接小孩），剩下内容一半是此起彼伏的脱口秀，每个人都像在脱口秀大会上攒着一股劲想让评委爆灯，不停地说出一些预期违背的话，多到甚至泛滥了。另外一部分内容更无聊，每个角色像导演化身，生怕观众不懂，源源不断输出各种观点，充满爹味（对这是最讽刺的地方，一部女性电影里甚至能散发爹味），电影的主旨不是靠剧情推动，而是靠角色的嘴不停的说。男性角色的定位更离谱：炮王，龟男，甚至还有变态跟踪狂，就这样还骂男人破防，男人也真的可怜。算是流畅的电影，但并没有比小妇人伯德女士高明。3.5分，考虑到这个9.1分评价，三星吧。能真心觉得这部电影值9分的人，这辈子估计能看过几部电影。
力荐,228,非常非常好看🥹幽默好笑，令人心生嚮往的都會生活！！！🩵🩵🩵🩵🩵🩵🩵🩵
力荐,360,前夫从头到尾都没个名字呢
力荐,2,真好//我天，预告里那句“原罪”不是讽刺吗？没文化还破防属实有点好笑……
很差,327,两个男的坐在那里对话：我们已经占据太多性别红利，我们都有原罪。恶心不恶心啊。不如改名叫狗东西吧。PS：有人说这个讽刺，看吧，就是让观众对这种现象越来越习以为常，导演他敢让两个女的坐着说出这台词吗？敢吗？破防的是现实生活中希望吃性别红利但是吃不到只能在这种了色电影里面找那点可怜存在感的人。
还行,172,很小聰明，像在看性轉版彭浩翔，議題buff疊滿，有種10w+爆款爽文的感覺。現場笑聲掌聲不絕，趙又廷的部分確實滿好笑的。
