comment,province
#电影好东西#《好东西》里的小马有个设定太细节了——“一吃馆子就拉稀”。铁梅来乐队接孩子，在门口碰到背着包刚出门的小马，打过招呼就进门了，小马马上折返；回去一听，铁梅要请大家吃饭，小马心生雀跃，没想到乐队伙伴来了句“我们就不去了吧，小马一吃馆子就拉稀。”导演给了小马反应特写，那一脸不敢置信，家人们谁懂啊，在crush面前丢大脸了当时我真的笑疯了，因为身边就有一位这样的朋友，说话温和，脾气好，是“非典型男性”。他有很多女性朋友，但是也跟小马一样不能吃外食。一起吃火锅，他能吃到中途消失了，散场才出现。在影院看到这个细节真绝了，当时看到笑喷，一下子就想起他来。,上海
近期好东西分享好东西里面有好多个我，有好多她，有很多好东西。#电影好东西#,广东
#电影好东西#真的非常喜欢那段猜声音与妈妈做家务的互文的诠释邵导太会了，真的很好看，特别好笑，今年年度最佳我说的,江西
记录今天📝久违的一次逛街姑姑送了两双鞋子说是生日礼物却是春夏款1580一双我欢喜笑纳看了#电影好东西#真是好东西女性的觉醒和伟大在一部喜泪交加的片子里完美呈现女人最懂女人女人团结起来会干翻这个爱丁堡的世界顶着灰蒙蒙天空里的一点火红色日落去sof喝咖啡晚上的三浴和太平角美极了夜幕下的海平面虽然模糊但远处黑蓝色的云层又分外神秘店里座无虚席点了一杯dirty好喝得很还偷喝了隔壁的小甜水verynice试了试朋友五个w的徕卡相机还不错但我的dazz无敌了好吗神图简直是信手拈来下次寻个好天气拍爆她的内存卡回程路上走了灯光秀的临街主路原来这个视角这么梦幻突然就觉得有些事情换个角度想也许会有不一样的处理方式和结果可能也是张学友和邓丽君的歌做了加持叭吃了一家巨巨巨好吃的韩国菜店里没人却24小时营业我真的惊了可是好好吃太好吃了我又一次爱上青岛。,山东
本人作证：缺爱和童年时常受到打压的孩子长大后真的会容易对那些爱夸自己的人产生好感#电影好东西#,湖北
#电影好东西#真是好东西,湖北
我可坐过太多次臭车了#电影好东西#,四川
世界不公平但人生可以轻盈#电影好东西##周末时光#日常超话,浙江
已经很久没看过一部电影全场从头笑到尾，不是为了故意让观众笑而笑的无厘头情节，好多细节好多讽刺的梗值得再回味一遍。没想到的是这么晚了还是周日晚上，上座率还是挺高的，很欣慰进来的男女观众比例是持平的，而且基本都是年轻人，导演该是很懂年轻人想看什么的。概叹于邵导也不过30出头，还是原创剧本，好优秀啊#电影好东西真的是好东西#,广东
好东西真的是好东西！#电影好东西#,广东
《好东西》请去看！！！喜欢泰勒斯威夫特的请去看，爱听livehouse的请去看，女同请去看，装女同的也请去看，女权男请去看，装女权男的也请去看，单亲妈妈请去看，追单亲妈妈的也请去看，小孩请去看，搞四爱的请去看，爱约的请去看，爱当妈的请去看，爱喊妈也请去看，上海人请去看，山西人请去看，其他省份的也请去看，原生家庭有问题的请去看，失眠爱酗酒的请去看，恋爱脑请去看，去过平遥电影节的请去看，没去过想去的也请去看，有钱的现在去看，没钱的赚了钱再去看，有时间的今天去看，没时间的明天也要去看，反正都请去看！！！#电影好东西#,广东
好东西笑点密集的有点出乎我的意料#电影好东西#,山西
#电影好东西#最喜欢的一句影评：我很好根本无需自证,江西
#电影好东西#确实是个好东西，羞愧于我匮乏的语言，是我今年看过最轻松，又最深刻的电影了,湖南
#电影好东西#看完很开心，回家都是听着电影里的歌蹦跶着走的，看完后甚至有那么几瞬间没那么恐育了，尊嘟开心😁很期待新时代女性建立起来的“新游戏规则”,上海
՞•ᴥ•՞🧺⸝⸝🥞⁺˚🧸⋆成功的中国电影🎞️强推#电影好东西#,河北
#电影好东西#你真是有点子东西！看完想接着二刷的电影～不会评判演技，但所有演员都演的很契合身份剧中最爱小孩儿头戴耳机跟小叶听不同声音，与妈妈日常的繁忙操劳来回切换的镜头妙！！！所以为什么要什么都做好呢？我们本来就不是什么都要做好的,北京
今天看了《好东西》之后心中感慨万千。女孩们要有一种心态就是，我怎样都可以，我怎样都没关系。有野心的时候就去做，不想做的时候就停下来。不要解释不要自证，尤其是在男的面前。面对外界的询问和质疑，多说“没怎么”，多说“那咋了”。建立新的游戏规则，就不要在旧派的东西上过多纠缠。#电影好东西#,湖北
#电影好东西#10分嘻嘻,湖北
好东西太好看了！#电影好东西#完全治愈了我劳累的周末！酣畅淋漓笑中带泪太喜欢了“因为我们足够乐观和坚强，才能直面悲剧。”,北京
#电影好东西#呜呜呜大家都去看好东西！！真的很好看！！！今年电影院气氛最好的一场，有个片段甚至大家一起在鼓掌真的多点女性题材吧，太有共鸣了哈哈哈哈哈哈真的特别真实又搞笑赵又廷我真的哈哈哈哈哈这个角色太典了，电影院里面好几个男的笑得也特别大声我和另外两个室友，我们仨都高度一致觉得特别好看！！都去看啊啊啊啊啊,四川
太好看了啊啊啊啊啊啊音乐和画面都特别舒服特别浪漫的女性视角#电影好东西#,重庆
去做小孩儿做个小孩#电影好东西#,湖南
如果能让你开心，那就是好东西。#电影好东西#,广东
#电影好东西#我依然选择做个小孩儿去做小孩儿,山东
近期碎片广州终于入秋了#电影好东西##张靓颖光世界巡回演唱会#,广东
实名推荐🎬好东西！#电影好东西#,湖北
好电影值得走进影院观看#电影好东西#,四川
#电影好东西#给好评，梗很密集，精神状态很超前。爱情神话也挺好看的,天津
#电影票记录##电影好东西#全程都看得非常爽的一部电影，今年top1！！！刚刚仔细思考了一下我今年这个夏天去电影院看的几部电影，全部都非常垃圾非常无聊非常难看，以至于也没有记录票根（看完很无语压根没心情）但是！！！我宣布《好东西》真的是个好东西！！！节奏，剧情，演技，全部都好到爆！我出发之前问xs说好不好哭啊这部电影，我们带点纸吧，因为一点剧透也没有看，想着既然要去电影院看那就留点惊喜，结果，我们两个人带的纸全被我一个人用了，谁懂最后看完电影出来xs说好像只有我一个人哭得那么惨X﹏X我也不知道泪点为什么会低成这样，大概自己真的有那啥感人场面流泪综合征，不管是看到小叶和小孩儿，小孩儿和铁梅，小叶和铁梅，我全都有狠狠流泪，当然有时候哭完的下一秒就被剧情逗笑，边哭边笑，但是好爽谁懂！好爱这种感觉！！！《好东西》你牛！！给我狠狠拿奖！！！！,湖北
一部轻松的电影，没有人要在里面上价值。截取了主人公生活的一小段，并不波澜壮阔起承转合，轻盈地说完了整段故事。但是同时能看到用细腻的笔触描绘了动人的女性。“你的眼睛又大又亮，我喜欢你看着我”、“怎么才叫做得好，谁来当裁判呢”……很多台词听来真是悦耳，不要说教不要油腻，认认真真讲完女人们的日常已经足够好看。btw，狗姐味真的太浓了#好东西##电影好东西#,江苏
#电影好东西#“啊我来电影院就是为了看这种电影！”,山东
细糠啊细糠泪目了三次幽默又细腻铁梅小叶小孩你们三个就这么过日子多好呜呜爱死两个女演员了#电影好东西#,广东
#电影好东西#跟妈妈一起看了《好东西》很轻盈的叙事，“我正直勇敢有阅读量，我有什么好可怜的！”,湖南
好东西真的看完之后想开了两句台词：让我开心的才是好东西氛围，不会被礼貌所破坏，会被不礼貌所破坏一下让人想起了之前的事一切纠结迎刃而解还有好多喜欢的乐队现场场景以及被安利了好多歌电影最后发现女儿才是妈妈最忠实的粉丝啊连喜欢的话出自那一年写的新闻都知道#电影好东西#,四川
邵姐！我永远的姐！观影氛围真是太好了🥹从没在影院听到那么多响亮的女孩子们整齐的爆笑🥹#电影好东西#,广东
好东西真是极好的东西，感觉在国产电影看到了新大陆，原来我们也可以吃得那么好。无论梗还是细腻有内涵的台词，场景细节，人物关系，都呈现了太多新东西了。笑点不是让你一笑而过，有时候笑着笑着就哭了，而有时是兴奋激动的直跺脚，因为太高兴能在国产电影里看到那么丰富的新内容，新关系，新生活方式和自由。这个世界之所以美好，正是因为它是多样的有的人会把这部电影当做喜剧，我不这么认为，喜是为了制造戏剧冲突，让一些新话题不那么刻意，一些新台词不那么让部分人难以接受，或者说让更多人去接纳这个世界原本的样子，青蛙不应该永远待在井底，大象也要试图从房间里走出来，对吧。我更把它当做一部女性治愈系电影，一部超前的但又揭露现实现状的电影，一部勇敢的电影作为女性，你可以是强大的，是普通的，是懦弱的，是小孩，是任何你想成为的，可以是和别人不一样的，也可以是别人不喜欢的，你是你自己，是自由的，自己开心就好一部好的作品你会想要重复欣赏它，一首能共情的音乐你会想要每天听上一遍，一个想到ta就能傻乐的人，当然是想睁开眼睛就能见到ta，二刷好东西这就提上日程#电影好东西#,上海
#电影好东西#强推！以为是个比较严肃的电影，结果超多笑点,山东
#好东西#我的评分：#电影好东西#这才是女人在电影院应该看的好东西时间太久有些不记得爱情神话的导演是男还是女，但是一看电影就知道只有女人能写出这样的故事，让所有女人共情的故事有个短评说，有些好东西只有好东西能看懂，就像我爸在旁边只哈哈大笑时我在笑着流泪故事浪漫又平淡，感觉就发生在我的身边，让我既欢快地笑又难过地哭，但这部电影带给我的情绪不是喜＞悲，或悲＞喜，我在两种状态中平稳又自然地来回，这让我在电影结束时感到无比地畅快、舒服好喜欢我们“大中小”可爱的女人一家子，她们倚靠在一起的画面美好得让人想流泪希望我也可以像她们一样自由,江苏
#电影好东西#,云南
好好看！！！#电影好东西#,广东
如果能让你开心，那就是好东西。#电影好东西#,四川
#电影好东西#好看好看，有笑点有反思，人生可以有遗憾，可以不成功keepthinking，chasefreedom,北京
下雨天和妈妈一起去离家最近的电影院看了《好东西》。看完出来立刻给两个朋友发微信说：我其实觉得没有那么的好笑，一般好笑，因为她们日常说的话和发生的事情都是我们每天都存在的对话，没有超出我们的幽默。但我不是觉得不好，我觉得这样很好。朋友说是这样的，因为不知道是我们从小到大在大荧幕上受到的男导演的规训还是怎样，我们从来没有在电影这样形式的艺术作品里面看到过这种东西。有很多的对话我们都以为是只能存在在我们日常对话和姐妹群聊当中的，它不是什么宏大叙事，不歌颂谁不赞扬谁，也没有讲什么道理，但它就这样出现了，存在了，让我们觉得非常舒服。比如我们日常生活中对自己在交往的男人的幽默评价、对各种恋爱关系的解读，是默认不可以被写出来、甚至还会被搬运到大荧幕上的。但没想到它就这样上桌了，变成了一盘好吃的菜。这是邵艺辉导演做的很伟大的一件事，因为我会换位思考如果是我，我敢这样做吗？但是她就这样淡淡拍出来了。朋友对我说：小叶觉得山西是法国，你也说过河南是一个巨大的纽约。我说对呀，而且她也没去过法国，我也没有去过纽约。那咋了。电影里我第一次落泪的地方，是小孩对小叶说：你的眼睛很漂亮，我喜欢你看我，你怎么看我都没事。如果一定要像写读后感那样给一部电影赋予什么意义，那我觉得这部电影想说的就是这个东西。你所有向外求、向男人求、向世界求的东西，比如一句真心实意毫无保留的夸赞，一个九岁的女宝很轻易的就可以给你。这无关男女对立，而是我们女性和女性天然之间就可以相互理解，相互爱，相互体谅，甚至相互道歉。王铁梅累了需要一个肩膀靠一下，地铁上一个素不相识的女孩就可以做得到。小马反复强调：我喜欢她，我看过她全部的报导——但他们拉黑冷战的时候他也可以完全不关心，错过了她被骂的文章。这个世界上唯一会看完她写过的所有文章并且记住里面的话的，是女性、是女孩、是她的女儿。我很喜欢电影里面所有那些“那咋了”的时刻。你出过国，会很多乐器，那咋了？你读过我所有的文章，那咋了？你要为我结扎，那咋了？你原谅了我、接纳了我，那咋了？亲爱的男孩，我们只觉得你们有病。所有王铁梅和小叶吵架和好大笑流泪又抱在一起的时刻，我都会想起一段我和好朋友的对话。她和我说，我们小时候对长大后的婚姻和爱情的憧憬，都是相濡以沫，肝胆相照。但长大后发现，有义气的都是好姐妹，没有任何交往过的男人配得上肝胆相照这几个字。那我们为什么还是那么孜孜不倦渴望爱情呢，那是因为我们还在相信自己可以找得到“好东西”，或许是他们脑子里的，也或许是他们裤裆里的。虽然找到的几率都不太大。去找好东西，是我们绝望的浪漫主义。但找不到，不是我们的问题。电影散场后我和妈妈收拾自己身边的垃圾，因为买了奶茶，里面送了几张男明星的周边。妈妈说这什么呀？没什么用。于是很顺手把几张帅照小卡丢掉了。但是她又觉得袋子不错可以留着，装我们今天刚买的面包拎回去。然后她问我可不可以帮她买一下月底一个歌剧的门票，是她在老年大学的声乐课的老师推荐大家去看的，她也想我陪她一起看。我说你怎么不让爸爸陪你看呀，她说我就想跟你一起！我妈妈没看过上野千鹤子，不懂女权主义。但是她也很自然地知道我是她的好东西。#电影好东西#电影好东西超话,河南
已二刷好东西，还能再看#电影好东西#,广东
#好东西#我的评分：#电影好东西#在朋友推荐下去看了这部电影说感觉是我会喜欢的嗯看完之后确实不出所料我认为算是非常好看的一部电影温暖治愈写实也充满力量以女性色彩为主导不像大多故事性剧情较强的电影看起来似乎没有故事主线但却每一幕都在讲述最真实的生活细节满满🌟亮点推荐：1️⃣最喜欢饭桌雄竞那一幕搞笑的同时也讽刺了男性对于家庭责任的懈怠2️⃣不得不说钟楚曦真的演的好好表演细节拉满完美诠释了一个恋爱脑女孩儿因为缺少爱而勇敢渴求爱情最打动人的是在认为自己做错了事害怕朋友受伤时的无措和难过相比于以自我为中心我是永远会为非常在意他人感受不怕自己受伤的人狠狠共情总觉得这才是人性最美好的一面作为男生这段看完之后我会觉得男生一定要尊重且尽可能保护女生给予最基本的安全感无论是如何产生了分歧或者矛盾最起码做到不伤害3️⃣对于人生的种种当你越想要做到最好时反而会觉得什么也没做好接受自己并不万能“明白了好像很多事情也没有那么明白”有事事尽力的心我认为就已经很棒了其他的都交给过程在过程中就会慢慢变得更好4️⃣最可贵是在不堪的生活里生出的勇敢底色可能艰辛充满不幸和意外但依旧努力生活我想如果我创作自己的作品我也会更愿意写一些苦难和悲剧是正因为足够乐观所以才能够直面最后如果你开心那就是好东西,陕西
#电影好东西#好好看！五星推荐！,山东
#电影好东西#正式上映后1天10时59分，票房破1亿，映后2天5时24分，观影人次破300万。而且连续3天拿下了票房日冠、观影人次日冠、上座率日冠和预售日冠，总票房也超过了此前已上映10天的《胜券在握》，势头强劲之极。pyq也看到了好多人看完后推荐这部电影，这个题材的受众面真的很广！,浙江
1️⃣小孩真美好，闺蜜真美好，我们每个人都有自己的烂摊子，都有自己无法解决的人生课题，但幸好还有彼此互为良药，在对方破出大洞的心口上缝缝补补。2️⃣感觉导演有在努力教我们欣赏男性愚蠢的美丽。我承认章宇老师演技是很好，但是让他演一个胸大无脑的男花瓶是不是差点意思？3️⃣谁能想到，全片最招人烦的是张家新呢？4️⃣女性主义几成滥觞，一切先进思想若不能引领自强奋进，只撰作经文装裱在彰显进步的门面上，那便如绫罗绸缎穿在了乞丐更夫身上，一钱不值。是谁做空了女性主义？投机讨好的男人，和泄愤扫射的女人。#电影好东西#,江苏
#感觉要被王铁梅掰弯了#在她对尾随者说垃圾的那一刻……简直是我女神中的女神！！谁不想要一个，这样的妈，这样的闺蜜，这样的同事！就算生活千疮百孔，我也得厮杀一条血路……敬#电影好东西##好东西#……绝对是值得走进电影院的一部电影，女性视角太舒坦了…………,广东
#电影好东西#“气氛不会被礼貌破坏，只会被不礼貌破坏”，宋佳，钟楚曦，电影好东西，要给年轻人机会麻瓜看电影超话L空船侠影的微博视频,北京
还好我和我姐都能get，今年的国产总归有一部没让我踩雷了。#电影好东西#,四川
#电影好东西#好东西,福建
#电影好东西#这部电影搭配着最近的卫生巾话题真的效果拉满人们什么时候才能明白女权从来不是指女尊男卑而是男女平权女性在这个社会所受到的歧视不被尊重、不平等的对待终于被正视！！女性视觉表达，不卖惨不浮夸在一个平淡轻松的氛围被大家看到好电影就该有这样的力量,重庆
#电影好东西#✧⁺⸜(●˙▾˙●)⸝⁺✧,广东
好东西我的评分：#电影好东西#其实今年都没怎么进电影院，没有什么感兴趣的片子，但是看了这部预告片就决定一定要去看，好看值得，推荐,辽宁
能让你开心的就是好东西#电影好东西#,吉林
#电影好东西#啊啊啊啊啊啊都给我去看好东西！！！！！真的太好看了，看得我又哭又笑的，真的是特别棒的片子，年度最佳华语电影（好几年的）,广东
看完电影《好东西》，有太多感人和敲打在心巴上的美好片段。其中很戳的一个细节：小叶对两个小女孩说：“我要看着你们长大，建立新的游戏规则。”意识的觉醒，到勇敢的表达，好像都只是游戏里的初级阶段；真正要在生活中打破，在现实的新旧之间挣扎，在不理解和被误解的重重障碍里继续勇敢前行，才是游戏升级的难上之难。所以，希望孩子们长大，创造一个新的世界和新的游戏规则，让每一天的现实生活，可以稍微容易一些。.#电影好东西#,上海
#电影好东西#像一首温柔的抒情诗,黑龙江
《好东西》好看👏#电影好东西#,安徽
#电影好东西#“总要有人跟你说声对不起”——王铁梅/@宋佳亲爱的，我们不需要别人的审视，也不要在意普世价值的定义，在当下，你就是最好的自己。亲爱的，成长的路上我们总要学会“自洽”。我知道你为了生活的更好，已经很努力了！所以不论是否满意当下，你都应该适时的表扬自己，你真的很棒。亲爱的，我知道你渴望被爱，我也是，但是我们都要尝试去接受“孤独”。不论来时的路如何，现如今以至于到生命的尽头，会陪伴你的始终都是你自己，其他的缘分都是无常。亲爱的，你很好，我也很棒，我们都是自己的“好东西”！在北京冬日的初雪前，看了一部@电影好东西，肆意的笑，也不禁的哭。笑的是生活中的无数瞬间，哭的也是。,北京
好东西我的评分：#电影好东西#好看！很轻松愉快的电影不会刻意去猜剧情发展，就享受在故事当中女性题材也没有刻意制造男女对立感叹的是梅婷女儿长这么大了，演技居然也好。最喜欢听声音那个转场，好新颖！还有，宋佳的说话语气和神情真的和我小舅妈太像了！,湖北
“如果能让你开心那就是好东西”🫧#电影好东西#,云南
中年妇女夜闯中山陵，一杯奶茶引发的思考#电影好东西#L涵子鼠的微博视频,上海
#电影好东西#语言匮乏不足以形容这部电影的深度和内涵但真的推荐每个女性都去看绝对精彩,福建
“什么好东西”“确实是好东西”“什么才是好东西”hhh#电影好东西#,广东
真是个好东西#电影好东西#,河南
