ip,score,样本总数
上海,47.0,92.0
中国,0.0,1.0
中国台湾,0.0,1.0
中国澳门,0.0,1.0
中国香港,0.0,2.0
云南,22.5,32.0
内蒙古,17.0,26.0
北京,104.5,176.0
吉林,14.0,26.0
四川,48.5,72.0
天津,22.0,32.0
宁夏,9.0,12.0
安徽,31.0,48.0
山东,78.0,106.0
山西,32.0,42.0
广东,144.0,224.0
广西,21.0,24.0
新疆,15.0,24.0
日本,0.0,1.0
江苏,67.0,108.0
江西,22.0,31.0
河北,28.0,48.0
河南,53.0,92.0
浙江,57.5,95.0
海南,17.0,21.0
湖北,58.5,75.0
湖南,41.5,66.0
甘肃,18.0,29.0
福建,27.0,39.0
英国,1.0,2.0
西藏,1.0,2.0
贵州,18.5,27.0
辽宁,44.0,61.0
重庆,18.5,28.0
陕西,45.0,74.0
青海,7.0,7.0
黑龙江,18.0,28.0
,8.0,14.0
