五星评分,有用数,评论
推荐,3693,白色恐怖时期，青春少年们卷入撤离行动应该怎么办？群像式的人物塑造，从小视角切入庞大的历史事件叙事。孤星社的成员们，面对危险与挑战重重的境况，每个人都在反复做着最艰难的选择。年少的他们，还没来得及见识世界的广阔，为了完成任务团结在一起，有人牺牲有人成长，谍中谍中谍，带来一次次反转冲击，最终，我们一定会因为信仰而再次重逢。
较差,137,陪老爸看的 前面喊口号 最后在拍mv 两男主台词都很差 女主演技吊打男主
推荐,3306,扒开对弈的外壳，除了悬疑谍战外，还是一部热血青春片。动荡的年代里，人们无法知道，下一刻是新时代的黎明，还是血色模糊的黑暗。尽管如此，仍有青年不惜付出生命代价。三个主角，分别是当时三种人的不同缩影：李一民是做出忠于自我选择的普通人，丁梦华是为理想主义献身的觉醒女性，许天平是被出身制约而无法选择阵营的人。他们在自己的位置上发挥着重要作用，看似是暗夜里的星辰，但其实没有一个人是“孤星”，共同交织，普照黑夜。
很差,1387,报刊、、很乱的剧情 节奏感差 白白浪费了三十多块钱 壁垒啊壁垒
推荐,2477,“我们在阴影里战斗，守护向阳的地方”，我一直倾向于喜欢大战争背景下的“小故事”，尤其是那种不被记住、甚至不被知道的人的故事，因为这最能凸显普通人的勇气。片子的题眼是“选择”：这群人有相同的来处，但他们走了完全不同的路，你以为有人是同路，其实他是反向，你以为走散的人，最后也许还能回来。“他/她到底是怎么选的”，既是贯穿头尾的悬念，又是看点。不光主角团，包括《申报》的那个主编，虽然嘴上说“我们只是报人”，但他也做了选择，而历史上真实的白色恐怖时期的《申报》，同样做出过值得敬重的选择。所以还是希望电影人多讲一些小人物怎么选，无名氏怎么选的故事，真的更动人。
推荐,2120,"《孤星计划》的群像戏太动人了！
在2024年的电影里，哪怕是不限于谍战悬疑题材，《孤星计划》的众生相人设塑造都是最精彩的那一档！
这些可爱的人是那么鲜活，那么有生命力，仿佛就在生活中与我们擦肩而过……
但看完电影之后才想起来，他们已经是100年之前的人了……"
很差,1255,这种骗钱的电影有上院线的必要吗？说剧情是没有的，我都怀疑编剧的脑子是怎么写出这种毫无逻辑的剧情。至于演技，那确实没什么说的，因为根本没演技。
很差,861,烂就一个字
较差,57,"没难看到如芒在背坐立难安的程度但也确实不行。开头调子起得特别假空，五卅事变后正式开始“悬疑谍战”的剧情后正常了不少但情节还是不知从何吐槽起只直觉儿戏。
平心而论男主演得还及格，但那张脸上大银幕实在太难以恭维了，受刑那场戏简直像泡发了的浮//尸…演得最差的是男二梁靖康，查了一下年龄30了也不小了木头成这样有点良心去上两节课吧🙏😅平心而论此沙最出彩，但跟梁靖康一起去上一上台词课好吗好的你俩一东南棒读一西南含糊苍天啊中国观众没惹……雪迎很漂亮，但下线之早是我没想到的，下次接个好点的片子好吗我也实在是受不了了…
最后就是陈雨锶的角色怎么演着演着就没了？看了一下卡司表她演的原来是杨之华啊，是历史上那个杨之华吗？"
很差,628,请王源放弃演戏，被张雪迎吊打，毫无电影感，荧幕上真三岁小孩演技既视感
很差,490,一帮孩子过家家玩谍战游戏。
很差,431,怎么吹电影脸啊？磨皮吗
较差,56,"这部电影要是没有印小天和李晨等几位老戏骨压阵，根本没办法看。压根看不出两位主演有什么表演能力。剧本也跟一瓶纯净水一样没滋没味，如果没有最后大反转的反杀，几乎就没眼看。
主旋律都能拍成这样，中国电影还会有希望么？"
推荐,1511,观感超预期，本以为是靠王源撑起的流量电影，但竟然是部还不错的悬疑谍战片！紧扣假营救真抓捕、谁是卧底等，商业类型元素都有且完成度尚可，重点是告别了老气横秋的传统拍法，用年轻演员身上特有的朝气突出对【信仰】的坚信，有种看青春热血片的感觉，每个年轻演员塑造的青年群像也完全立住，不错。
很差,560,李一民被电击时，抖动的一脸肥肉真的让我有点出戏
很差,706,剧情和演技都……
力荐,3581,前段铺垫，三分之一后开始反转很高能，不断与前段的铺垫呼应，悬疑有温情也有，我是不会承认我看哭了的
力荐,3344,从开拍就一直期待的一部电影，看到预告期待值更高了，今天终于上映了，主演的演技都很好，导演拍摄后期剪辑水平都很高，剧情紧凑，环环相扣，很多反转，引人深思，值得二刷
力荐,3082,完全合格的谍战片，情节环环相扣，反派不降智，反转反转再反转，节奏非常不错，值得一看👍🏻
推荐,1698,比较意外的是，这片子还挺有精气神的，硬朗，激荡。我对很多“口号”式的影像已经脱敏了，我渴望看到的还是一个时代的人如何在时代的漩涡里不被那么快地淹没——没有人最后可以不被淹没，但是如果有足够的意志，如果有一种可传承的，从老年到壮年到青年的那种感染能够从银幕里激荡出来的话，是一件令人兴奋的事情——在一个混沌的浪潮里，我看到了严丝合缝的激情。
很差,642,从来没想过有片子能烂成这样。。。破烂剧情破烂演技。。。王源你除了干瞪眼还会什么。。。
较差,74,"电影思路是好的，从一群有志大学生视角看民国上海白色恐怖，给悲壮的谍战事业打上青春底色，看着他们稚嫩的面孔蒙上尘埃染上鲜血，革命精神也流畅地从中表出。
可导演真正拍出这种青春与革命的交融感了吗？
片头一大段阳光誓言叙事效率低且传情塑像差，一眼看穿是为后文煽情闪回作铺垫，过于刻意。
中间谍战潜伏中规中矩，有悬疑博弈，也有身份反转，能提起兴趣看下去。梦华死时滥用回忆，相比之下独眼死时就利索很多也够有记忆点。
片尾的煽情就更泛滥了，直接剪了一段MV走了全员的马灯，搭配上先辈的革命宣言将全片推向高潮，但对观众来说更像是被泼了盆冷水，本以为正儿八经谍战片，结果是部爱国主旋律电影，而且写得直白唱得响亮，就差把“我爱你中国”吼出来了。
说到底还是电影定位不符，你把前作《革命者》的抒情法用在本片太水土不服了。"
很差,350,不针对演员，不带任何偏见，坦诚地评价一下：开头三分钟，我就预感这是部顶峰相见的烂片。果不其然，半小时之后，预感愈发强烈。现在写影评是电影进行到第四十五分钟——只能说，剧本，导演，演技，充分体现了内娱没有最差只有更差的水平。相信我，这是部十分用力的课堂作品，仿佛编剧演员导演都缺少一个实习机会，因此有了这部孤星计划。僵硬，造作，别扭，低智，以至于你都不想笑，只有持续地摇头与叹息。今年烂片的底线又被拉低了～
很差,530,好痛苦，男主的脸让人完全无法代入看下去！强撑半个小时实在看不下去走了，王源有点良心就别拍电影祸害观众了
很差,108,东拼拼西凑凑，没有一点新鲜东西，谍战欠缺紧张感，反转没有悬疑感。看得出导演开头拼了命想要搞个正向版《色戒》，你拿梁靖康当王力宏用我忍了，可你把王源当汤唯拍，是不是多少有些歹毒？
很差,265,【1.0+】显然不是最屎的那一级，但杀伤力也是很猛了，人物扁平转折生硬，谍战暗斗情节都略显儿戏，各种煽情口号喊个没完，是走马观花浮于表面的那类刻板电影，但好歹没有《维和防暴队》那般抽象离谱让人难蚌，把王源放在一群不咋会演的人之中确实挺聪明的（三字真的可以学一学），能看完而且不犯恶心这片已经赢很大了……
