comment,ip
"演员王源
🌟 推荐",安徽
"真的很好看
不看到最后不知道谁是坏人
出乎意料的结局
很棒很棒！",浙江
工人阶级自然可以成为主角，小小计划体现大精神,广西
"🌟 推荐

😊 演技
非常非常好看",无法获取
非常的好看，小源演技进步好多！！！,浙江
超级好看！是想二刷的程度！,黑龙江
很好看，值得,无法获取
剧情很好，我比较笨没看懂🥱,广东
"🌅 画面
画面拍的确实好 导演技术水平很高 而且全程剧情紧凑 刺激 我都看入迷了 最后祝王源 还有剧组所有人员 以后顺顺利利 大红大紫",广东
一民一民 一心为民💚内容很好 大家多多支持,湖南
非常的好看这部剧值得推荐,河南
超级好看非常推荐,福建
剧情真的很不错，反转再反转，没到结局你根本不知道谁才是真正的好人,四川
"真的非常好  有特别多的小细节  是我唯一看完马上想二刷的一部电影
🌟 推荐

😊 演技

😭 哭点",重庆
好看，意想不到的反转  在那年代主角没有光环  一民一民是千千万万个一民  意外和明天不知道哪个先到来，只知道每个人要有勇敢拼尽全力的去守护才能有更好的明天,广东
不要因为他是王源就直接否定他,重庆
非常好很有意思,湖北
好多细节，真的值得二刷,江苏
孤星社都是好样的！,上海
真的好值得看,广东
后面的反转真好看,辽宁
"全员演技在线，剧情反转又反转。觉得他是好人时，结果是坏人。觉得他是坏人时，结果是好人。“梦华”牺牲时让我心好痛，尤其是一民最后完成任务牺牲时让我哭到不行😭😭整个画面也很棒，听说搭建场景也是完美复制以前的大学。 最后说一句有这一群热血、青春的同学真的很好👍👍👍
所以，小源这一次的你真的超棒，有很大的突破哦（超大声）",陕西
挺好的，值得一看，热血青年的故事,上海
特别喜欢，好看,江苏
剧情不俗套！反转的都是意想不到！演员进步都很棒！冲呀,四川
那回事吧，别当谍战看，是个青春片，不是特别难看，但也不好看,北京
太好看了啦，大家都来看,广东
"好看 收到了很好，质量也很好好，客服的服务也很好。然后它就是一个很好，不可否认的是很好，虽然我觉得很好，但是它确实很好，好是好，不过很好，当然也有好的地方，我个人还是觉得很好的
物流超级给力很快就收到货啦，卖家老板特别好建议的尺码非常合适，衣服做工精致，面料质地厚实，颜色好看，质量也不错！版型设计好看，穿上显气质！超级满意，好评！
收到货品好长时间了，一直没时间评论，已经用了一段时间了，自我感觉良好。东西很多，价格便宜效果非常不错。这次买得真是物有所值，下次还会再来，还没下单！赶紧咯！
质量非常好，与卖家描述的完全一致，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实。物流公司服务态度很好，运送速度很快，很满意的一次购物！质量很好，希望更多的朋友信赖。
物品收到挺不错的，还会再来的！没得说，物流那是杠杠杠的。必须赞！已经买了两次了 不错",广东
17岁的李一民永远停留在了17最美好的年纪,山西
多次反转，非常精彩!,安徽
挺好的，很好的,海南
非常好看的一部电影呐,广东
一般吧，做我旁边的女士都看得睡着了,广东
超级好看，真的是反转又反转！！！非常棒！真的好心疼女主哭死我了,河南
星星之火可以燎原,四川
好看，给我看哭了,湖北
好看，剧情紧凑，反转很多，非常推荐,湖北
"🌟 推荐
有很多反转剧情挺精彩的

😊 演技
每个人演技都超棒，完全代入

😭 哭点
青年为救国的那种不怕牺牲的热血特别打动人",河南
超级青春热血，让我们看到了百年前中国人民的团结一致和为了国家未来，为了组织计划的誓死不屈，故事情节也很吸引人，碟中谍的计划，好朋友的“背叛”和牺牲😭😭，真的非常优秀的影片，折射了那个年代许许多多人的缩影,河南
青春的力量，如同燎原之火。不可阻挡。《孤星计划》中的少年们，怀揣着梦想与信念，李一民用他的坚定与执着在动荡的岁月中奋勇向前。感受那青春热血在银幕上的沸腾，一同领略这青春谍战的独特魅力。,广东
《孤星计划》好看 演员演技都在线 情节很丰富 很贴合历史 值得一看,浙江
演员演技超乎想象，是一部很好励志影片，祖国越来越强大！！！,江西
"很好看！强推大家去看！真的很好看！演员们都演得很好，剧情无限反转，好看极了！
🌟 推荐
尊滴很好看
🎉闪光点
演技不错，比预想的好很多
😭 哭点
结局让人感动",浙江
演员们演技都非常好 孤星计划爆,河北
很热血！😘青春悬疑谍战片🤩🤩,河南
非常好看 都是我意想不到的反转 一开始其实没抱什么希望 觉得是一群年轻人过家家 但是真的把我惊艳到了 很好看 无论是剧情还是演技 都很过关 值得被更多人看见 没写过什么影评 但是这一部我真的很推荐 这部影片完全是输在了宣发 不然绝对是领头羊的存在 推荐大学生赶路人来看 作为大学生 我很喜欢,天津
真的非常棒，看得我紧张死了，一直找内鬼，,重庆
"真的很震撼，剧情反转反转再反转，每个人都能做出不平凡的选择，敌人有脑子, 主角没光环这部电影真的太值得看了以为反派一定春到死以为主角一定会活到最后以为计划肯定完美无缺但其实, 死亡就是一瞬间没人在乎你是谁原来
李一民不是主角, 真正的主角是千千万万的学生工人、各界爱国人士让我热泪盈眶 在这里每个人都是主角， 每个人都为了完成任务尽自己最大的努力，真的在看的过程中有一种说不出的热血，源的演技也是让我意想不到的，真的真的真的很好啊，我不知道应该怎样来表达我内心热血与激情，因为想说的太多了， 总之和李一民一起探索了百年前上海滩发生的故事最后祝孤星计划大爆！！！",四川
剧情非常紧凑精彩，反转很多，尤其到后面威力十足，还有很多女性力量的角色,山东
超级好看！强烈推荐哈，反转多！,四川
