ip,score,样本总数
上海,69.0,129.0
中国台湾,1.0,2.0
中国香港,0.0,3.0
云南,14.0,45.0
内蒙古,8.0,14.0
加拿大,0.0,1.0
北京,89.0,233.0
吉林,12.0,27.0
四川,47.5,114.0
天津,17.5,52.0
宁夏,5.0,10.0
安徽,16.0,62.0
山东,43.0,143.0
山西,14.0,41.0
广东,111.0,319.0
广西,21.0,70.0
德国,0.0,1.0
新疆,4.0,13.0
,7.0,8.0
江苏,39.5,143.0
江西,34.0,100.0
河北,34.5,101.0
河南,41.0,146.0
浙江,32.0,126.0
海南,14.0,30.0
湖北,28.0,87.0
湖南,33.0,90.0
甘肃,9.5,32.0
福建,21.0,85.0
美国,1.0,2.0
贵州,17.0,45.0
越南,1.0,1.0
辽宁,19.0,60.0
重庆,30.0,78.0
陕西,18.0,66.0
青海,2.0,8.0
马来西亚,1.0,4.0
黑龙江,11.0,39.0
,37.0,66.0
