comment,ip
第一部巅峰，第二部也很好看,广东
"年度最佳！

",无法获取
大半年了，唯一一部好影片,陕西
剧情很不错，故事内核值得一个赞，今年看过最好的国产动画电影！,无法获取
艺术成分一如既往的高，雄狮2，阿娟，你果然没让我们失望！！！！,重庆
看完2，又去看1，看完再来看2，拍的用心好看。还是蛮厉害的，雄狮在2和1里都不只是醒狮，而是阿娟内心的一口气。阿娟加油＾０＾~,陕西
"一个生命力很强的故事 动作演出满分💯
",河北
很热血，里面格斗的美术分镜头，和蒙太奇的运用真的，很棒。动作，场面天马行空，360度运镜真的绝。,安徽
非常精彩 平凡少年最终战胜了资本力量！,江苏
好看，依然热血,北京
延续上一部的良好制作，真的很不错的电影！,甘肃
"这部片子技术上令人惊讶。

感觉上已经可以代表国内的3d动作技术方面的最高水平。

几场打戏把武术流派特点展现得极为鲜明，感觉这不是动作捕捉加修补关键帧可以做到的水平。

这需要动画师对武术有深刻的理解，对发力逻辑和动作节奏、镜头语言都有非常精准的把握。

这么说吧，剧情全都放在一边，单论这几场打戏已经值回票价。

打得真心漂亮。

干净又清爽，蓄力足、发力透，节奏分明、落点精确。

能做到这个程度，恐怕全世界也只有我们了。西方动画师的修养主要在芭蕾、现代舞、拳击方面，和我们基于传统武术的底子是不同的。

这个从基本架势和节奏上是不同的。

这个是思想底层缺少这个修养，是文化基因问题，注定在这个领域我们将来会独霸世界。

动作类游戏和影视将来一定是我们的天下。

凡是拿“***”“宽眼距”说事的信源，建议你们保持警觉。",甘肃
已经是国产动画电影的巅峰之作了。故事，画面，人物设计等都具有相当的水平，有少林足球的影子在里面。,江西
很少来评分，先看二再补了一，第二部更好看，传统不该落寞，很有教育意义， 很燃！！！ 支持国产电影,北京
"真的真的真的真的真的真的特别好看
周末拉着朋友去四刷。",北京
剧情跌宕起伏，无尿点，画面和音乐配合地很好，寓意很到位,广东
剧情很好，人物塑造的非常出色,广西
眼睛还是搞那么小？,上海
无话可说，一会惹我哭一会让我笑的，该你9.5评分。那些给低分的，你药剂吧干啥,云南
特别棒的动画作品！之前看过第一季，也很喜欢，所以就来看啦。可能宣传力度不大所以一直都不知道出来了第二季，刷到舞台剧才知道动画也出来了第二季立刻就来看了！强推，特别喜欢，已经打算二刷了！！,广东
今年最强，诚意满满，剧本够强，希望大家可以去支持，看完特感动。,广东
我觉得这部电影主要是为了弘扬中华传统武术，证明中华传统武术不比外国那些格斗术差，但影片中也阐明了传统武术逐渐落寞的原因，是因为生活所迫，在当今社会，像舞狮这些传统文化，因为低收入，根本无法在如今的快节奏社会立足，导致很多传统文化逐渐走向落寞，甚至是消失，而我们的主人公阿娟就像大城市里的野草一般的存在，但他却靠着自己一点一滴的努力，一步一个脚印，像小草一样顽强，打败了一个又一个强大的对手，像观众证明了传统武术是可以在擂台上发光发热的，我从他身上看到了本不属于他的责任与担当，即使他受尽了生活的折磨，依旧选择去热爱生活，他的故事让我明白，人生的道路从来都不是一帆风顺的，但只要我们永不放弃，即便是小草也有比天高的机会!,辽宁
就一个字：燃！！！！！都给我去看,湖北
